"player","season","Team","TOI_all","GAA_per_fenwick","FA","GAA","GAR","WAR"
"ANDREW.RAYCROFT","20112012","DAL",529.38,-0.01225,408,-5,-2,-0.4
"ANTERO.NIITTYMAKI","20072008","PHI",1265.2,0.00046,876,0.4,6.8,1.3
"ANTERO.NIITTYMAKI","20082009","PHI",1805.18,0.00597,1306,7.8,17.3,3.2
"ANTERO.NIITTYMAKI","20092010","T.B",2657.19,0.00095,1888,1.8,15.6,2.9
"ANTERO.NIITTYMAKI","20102011","S.J",1414.45,-0.00322,869,-2.8,3.5,0.7
"ANTHONY.STOLARZ","20162017","PHI",376.07,0.00615,244,1.5,3.3,0.6
"ANTHONY.STOLARZ","20182019","EDM",238.68,-0.00588,187,-1.1,0.3,0
"ANTHONY.STOLARZ","20182019","PHI",629.73,-0.00835,455,-3.8,-0.5,-0.1
"ANTON.FORSBERG","20142015","CBJ",255.72,-0.03464,179,-6.2,-4.9,-1
"ANTON.FORSBERG","20152016","CBJ",178.15,-0.00155,129,-0.2,0.7,0.1
"ANTON.FORSBERG","20172018","CHI",1714.8,-0.00509,1199,-6.1,2.7,0.5
"ANTON.KHUDOBIN","20102011","MIN",188.73,0.00678,118,0.8,1.7,0.3
"ANTON.KHUDOBIN","20122013","BOS",802.99,-0.00075,530,-0.4,3.4,0.7
"ANTON.KHUDOBIN","20132014","CAR",2084.08,0.00866,1536,13.3,24.6,4.8
"ANTON.KHUDOBIN","20142015","CAR",1900.35,-0.00505,1228,-6.2,2.8,0.5
"ANTON.KHUDOBIN","20152016","ANA",356.33,0.0024,250,0.6,2.5,0.5
"ANTON.KHUDOBIN","20162017","BOS",864.79,-0.00742,539,-4,0,0
"ANTON.KHUDOBIN","20172018","BOS",1780.7,0.00099,1213,1.2,10,1.8
"ANTON.KHUDOBIN","20182019","DAL",2219.5,0.00757,1678,12.7,25,4.4
"ANTTI.NIEMI","20092010","CHI",2185.92,0.00297,1247,3.7,12.9,2.4
"ANTTI.NIEMI","20102011","S.J",3523.93,0.00168,2380,4,21.4,4.1
"ANTTI.NIEMI","20112012","S.J",3915.77,-0.00015,2609,-0.4,18.7,3.7
"ANTTI.NIEMI","20122013","S.J",2580.76,0.00891,1717,15.3,27.9,5.5
"ANTTI.NIEMI","20132014","S.J",3720.27,-0.00033,2392,-0.8,16.7,3.3
"ANTTI.NIEMI","20142015","S.J",3567.92,0.00076,2510,1.9,20.2,4
"ANTTI.NIEMI","20152016","DAL",2634.37,-0.00185,1779,-3.3,9.7,1.9
"ANTTI.NIEMI","20162017","DAL",1728.5,-0.00622,1255,-7.8,1.4,0.3
"ANTTI.NIEMI","20172018","MTL",1026.27,0.01408,845,11.9,18.1,3.2
"ANTTI.NIEMI","20172018","PIT",128.14,-0.06796,103,-7,-6.2,-1.1
"ANTTI.NIEMI","20182019","MTL",968.8,-0.01771,717,-12.7,-7.5,-1.3
"ANTTI.RAANTA","20132014","CHI",1376.67,-0.00983,814,-8,-2,-0.4
"ANTTI.RAANTA","20142015","CHI",792.16,0.00756,516,3.9,7.7,1.5
"ANTTI.RAANTA","20152016","NYR",1150.35,0.00578,744,4.3,9.8,1.9
"ANTTI.RAANTA","20162017","NYR",1617.33,0.00628,1082,6.8,14.7,2.8
"ANTTI.RAANTA","20172018","ARI",2599.06,0.01162,2013,23.4,38.1,6.8
"ANTTI.RAANTA","20182019","ARI",687.1,0.00059,505,0.3,4,0.7
"BEN.BISHOP","20082009","STL",244.98,-0.00395,177,-0.7,0.6,0.1
"BEN.BISHOP","20102011","STL",368.81,-0.01378,225,-3.1,-1.4,-0.3
"BEN.BISHOP","20112012","OTT",531.65,0,325,0,2.3,0.5
"BEN.BISHOP","20122013","OTT",753.2,0.00221,542,1.2,5.2,1
"BEN.BISHOP","20122013","T.B",502.44,0.00308,422,1.3,4.3,0.9
"BEN.BISHOP","20132014","T.B",3586.31,0.00591,2472,14.6,32.6,6.4
"BEN.BISHOP","20142015","T.B",3499.04,-0.00157,2234,-3.5,12.8,2.5
"BEN.BISHOP","20152016","T.B",3579.62,0.00257,2333,6,23.1,4.5
"BEN.BISHOP","20162017","L.A",410.02,-0.00289,242,-0.7,1,0.2
"BEN.BISHOP","20162017","T.B",1812.55,-0.0041,1220,-5,3.9,0.7
"BEN.BISHOP","20172018","DAL",2886.77,0.00096,1975,1.9,16.4,2.9
"BEN.BISHOP","20182019","DAL",2637.3,0.01134,1826,20.7,34.1,6
"BEN.SCRIVENS","20112012","TOR",671.62,-0.00059,509,-0.3,3.4,0.7
"BEN.SCRIVENS","20122013","TOR",1024.83,-0.0025,760,-1.9,3.7,0.7
"BEN.SCRIVENS","20132014","EDM",1234.87,0.00153,1047,1.6,9.3,1.8
"BEN.SCRIVENS","20132014","L.A",975.22,0.01227,652,8,12.8,2.5
"BEN.SCRIVENS","20142015","EDM",3226.44,-0.01483,2164,-32.1,-16.3,-3.2
"BEN.SCRIVENS","20152016","MTL",821.96,-0.00623,594,-3.7,0.6,0.1
"BRADEN.HOLTBY","20102011","WSH",735.96,0.01336,449,6,9.3,1.8
"BRADEN.HOLTBY","20112012","WSH",360.57,0.00385,260,1,2.9,0.6
"BRADEN.HOLTBY","20122013","WSH",2089.25,0.00074,1477,1.1,11.9,2.3
"BRADEN.HOLTBY","20132014","WSH",2656.36,-0.00337,2015,-6.8,7.9,1.5
"BRADEN.HOLTBY","20142015","WSH",4227.48,0.00476,2815,13.4,34,6.7
"BRADEN.HOLTBY","20152016","WSH",3841.18,0.00313,2553,8,26.7,5.2
"BRADEN.HOLTBY","20162017","WSH",3680.13,0.00899,2413,21.7,39.4,7.6
"BRADEN.HOLTBY","20172018","WSH",3067.56,-0.0009,2336,-2.1,15,2.7
